Name,R1.Ratio,R2.Ratio,R3.Ratio,R4.Ratio,R5.Ratio,R6.Ratio,R7.Ratio
YKR097W PCK1,-0.124328135,-0.176322773,0.434402824,-0.084064265,-0.250961574,0.415037499,3.836501268
YLL026w HSP104,0.01449957,0.01449957,-0.189033824,0.836501268,1,2.395928676,2.64385619
YBR147W,-0.097610797,0.340075442,-0.028569152,0.074000581,0.251538767,3.058893689,2.473931188
YLL041c SDH2,-0.056583528,-0.097610797,0.49410907,1.058893689,1.434402824,2.556393349,2.64385619
YLL044W,0.286304185,0.01449957,-0.163498732,-0.443606651,-0.713695815,-2.09085343,-2.533563348
YLL045c RPL4B,0.184424571,-0.176322773,-0.084064265,-0.111031312,-0.111031312,-1.948600847,-3.065227623
YLR048w NAB1B,0.321928095,0.234465254,0.454031631,-0.111031312,-0.344828497,-1.929790998,-2.587364991
YLR062C,0.184424571,-0.056583528,0.058893689,-0.35614381,-0.097610797,-1.910732662,-2.865918815
YLR076C,0.217591435,-0.042644337,0.089267338,0.074000581,-0.310340121,-1.495695163,-2.324810603
YLR129w DIP2,-0.344828497,-0.378511623,-0.286881148,-0.887525271,-0.86393845,-2.811471031,-2.09423607
YLR142w PUT1,-0.176322773,-0.464668267,-0.50589093,-0.263034406,-0.201633861,0.514573173,2.395928676
YLR149C,-0.263034406,-0.124328135,-0.189033824,0.59946207,0.286304185,2.473931188,2.736965594
YLR174W IDP2,-0.111031312,-0.286881148,0.713118852,0.120294234,-0.137503524,1.286304185,3.321928095
YLR178C TFS1,-0.22650853,-0.214124805,-0.056583528,0.76121314,1.251538767,2.64385619,1.785875195
YLR180W SAM1,0.184424571,0.268816758,0.217591435,-0.925999419,-1.070389328,-2.545968369,-3.063502942
YLR186W,0.074000581,-0.042644337,-0.298658316,-1,-0.687060688,-1.389566812,-2.422233001
YLR196W PWP1,0.251538767,0.089267338,0.268816758,-0.855989697,-0.925999419,-1.5360529,-2.782408565
YLR198C,0.304006187,0.01449957,0.454031631,-0.150559677,-0.22650853,-1.361768359,-2.477677328
YLR249W YEF3,0.058893689,0.029146346,0.120294234,-0.765534746,-0.056583528,-1.475084883,-2.761285273
YLR258W GSY2,0.104697379,0.434402824,0.454031631,1.888968688,2,3.321928095,2.556393349
YLR267W,-0.124328135,0.120294234,0.268816758,-0.111031312,-0.485426827,1.64385619,2.736965594
YLR270W,0.104697379,-0.028569152,0.217591435,0.621488377,0.377069649,3.058893689,1.514573173
YLR304C ACO1,0.200912694,0.556393349,0.49410907,1.029146346,1.217591435,1.943416472,2.64385619
YLR312C,-0.613531653,-0.659924558,0,0.184424571,-0.275007047,1.251538767,2.321928095
YBR181C RPS101,0.184424571,0.217591435,0.200912694,0.089267338,0.120294234,-1.584962501,-2.568032105
YLR325C,0.043943348,0.01449957,0.120294234,0.029146346,-0.298658316,-1.545968369,-2.59454855
YLR327C,-0.189033824,-0.333423734,0.089267338,0.915935735,1.089267338,3.321928095,2.64385619
YLR339C,0.321928095,0.473931188,0.304006187,-0.214124805,-0.669026766,-1.782408565,-2.558267634
YLR340W RPLA0,0.200912694,0.321928095,0.473931188,-0.084064265,-0.443606651,-1.807354922,-2.776103988
YBR183W,-0.367371066,-0.40053793,0.395928676,1.058893689,0.862496476,2.556393349,1.434402824
YLR344W RPL33A,-0.084064265,-0.176322773,-0.35614381,-0.704871964,-0.50589093,-1.565597176,-2.378511623
YLR355C ILV5,0.358453971,0.058893689,-0.454175893,-1.244887059,-1.220329955,-2.392317423,-2.13422094
YLR356W,-0.111031312,0.59946207,0.535331733,0.862496476,0.810966176,2.836501268,1.888968688
YLR377C FBP1,-0.22650853,-0.028569152,0.251538767,-0.163498732,-0.124328135,0.473931188,3.836501268
YBR189W SUP46,-0.028569152,-0.310340121,0.029146346,-0.275007047,-0.545968369,-1.97819563,-2.655351829
YLR413W,0.217591435,0.358453971,0.535331733,-0.650764559,-0.669026766,-2.403267722,-2.827819025
YBR191W URP1,0.074000581,-0.250961574,0.058893689,-0.23878686,-0.555816155,-1.735522177,-2.669026766
YLR448W YL16B,0.340075442,0.029146346,-0.214124805,-0.613531653,-0.704871964,-1.895302621,-2.327687364
YLR449W,-0.042644337,-0.028569152,0.13606155,-1.195347598,-0.970853654,-2.613531653,-2.207892852
YML054C CYB2,-0.575312331,-0.097610797,0.434402824,-0.111031312,-0.042644337,2.321928095,2.943416472
YML063W RP10B,0.217591435,0.217591435,0.395928676,0.01449957,-0.028569152,-1.580145484,-2.485426827
YML128C,-0.124328135,0.200912694,0.971430848,1.556393349,1.358453971,4.321928095,3.473931188
YMR090W,-0.176322773,0.089267338,0.577766999,0.321928095,0.971430848,2.321928095,1.029146346
YMR093W,0.074000581,0,-0.454175893,-1.275007047,-1.339137385,-1.851998837,-2.462052319
YMR105C PGM2,0.13606155,0.535331733,0.713118852,1.736965594,1.473931188,3.184424571,2.64385619
YMR107W,-0.411426246,-0.263034406,-0.201633861,-0.298658316,-0.111031312,2.321928095,2.321928095
YMR121C RPL13B,0.340075442,-0.042644337,0.340075442,0.321928095,-0.111031312,-1.361768359,-2.459431619
YMR131C,0.217591435,0.104697379,0.321928095,-0.411426246,-0.831877241,-1.333423734,-2.596935142
YMR170C ALD2,0.184424571,0.234465254,0.200912694,0.434402824,0.713118852,3.64385619,2.251538767
YMR191W,-0.014355293,0.152003093,0.59946207,0.514573173,0.377069649,1.836501268,2.321928095
YMR217W GUA1,0.152003093,0.120294234,0.184424571,-1.077242999,-1.275007047,-1.622930351,-2.731183242
YMR250W,-0.084064265,0.473931188,1.029146346,1.785875195,2.120294234,3.058893689,3.184424571
YMR290C,0.120294234,-0.22650853,-0.23878686,-1.15704371,-1.40599236,-2.671293372,-3
YNL002C RLP7,-0.097610797,-0.367371066,-0.250961574,-1.182692298,-0.871843649,-2.801158656,-2.389566812
YBR238C,0.152003093,0.943416472,0.377069649,-0.782408565,-0.97819563,-1.500802053,-2.339137385
YNL015W PBI2,-0.070389328,-0.321928095,0.514573173,0.810966176,0.915935735,3.058893689,2.251538767
YBR241C,-0.97819563,0.058893689,0.415037499,0.184424571,-0.189033824,2.473931188,1.556393349
YNL052W COX5A,-0.23878686,-0.23878686,-0.097610797,0.089267338,0.64385619,1.785875195,2.321928095
YNL065W,0,0.286304185,-0.214124805,-0.992768431,-0.214124805,-2.192194165,-2.397802962
YNL067W RPL9B,0.043943348,-0.367371066,-0.137503524,-0.389566812,-0.22650853,-0.722466024,-2.386810946
YNL069C RP23,-0.097610797,-0.042644337,0.304006187,-0.201633861,-0.084064265,-1.10433666,-2.746312766
YNL096C,0.120294234,-0.028569152,-0.321928095,-0.495695163,-0.40053793,-2.195347598,-2.790772038
YBR247C ENP1,-0.028569152,-0.214124805,-0.070389328,-1.176322773,-1.03562391,-1.207892852,-2.765534746
YNL117W MLS1,-0.310340121,-0.042644337,0.713118852,-0.298658316,-0.263034406,0.76121314,3.184424571
YNL119W,0.13606155,-0.028569152,0.304006187,-0.214124805,-0.201633861,-1.15704371,-2.797012978
YBR249C ARO4,0.152003093,0.043943348,0.13606155,-0.432959407,-0.59454855,-2.021479727,-2.361768359
YNL134C,0.13606155,0.089267338,0.074000581,0.104697379,0.268816758,2.321928095,2.058893689
YNL141W,-0.163498732,-0.042644337,-0.070389328,-1.257010618,-1.195347598,-2.815575429,-3.13093087
YNL160W YGP1,0.234465254,0.340075442,1.120294234,1.473931188,1.736965594,3.058893689,2.836501268
YNL173C,-0.070389328,-0.250961574,0.104697379,0.862496476,0.785875195,2.64385619,1.689659879
YNL174W,0.058893689,-0.214124805,0.01449957,-0.963474124,-0.879705766,-2.386810946,-1.189033824
YNL175C,0.200912694,-0.189033824,0.120294234,-0.650764559,-0.90303827,-1.700439718,-2.622930351
YNL194C,-0.286881148,0.029146346,0.13606155,-0.163498732,0.304006187,3.836501268,3.321928095
YNL195C,-0.321928095,-0.23878686,-0.111031312,-0.150559677,0.029146346,0.76121314,2.321928095
YNL200C,-0.22650853,-0.028569152,0.358453971,1.251538767,1.514573173,3.836501268,2.556393349
YNL274C,0.01449957,0.058893689,0.358453971,0.64385619,0.49410907,2.736965594,1.689659879
